"","E1U","E2F","E2M","E3F","E3M","E4F","E4M","E5F","E5M","E6F","E6M","E7F","E7M","E8F","E8M"
"FBgn0002931",0.109236743136531,686.795760638233,640.754169002279,845.341557527101,806.349090443638,639.473285455214,699.803128182184,137.861146310165,188.958285712539,14.5017188769345,9.14520641827047,123.713330586891,118.978692869821,94.4276709311016,104.284483218899
"FBgn0031216",870.498868678478,2310.74158271546,2085.91005826884,2350.69455213615,2452.77533239863,2372.01601609974,2254.8866490184,2222.12202793833,2258.75618337045,2253.60724280116,2223.13392791288,2063.45953303975,2161.49052100924,1563.18426587778,1679.23340323077
"FBgn0031217",253.726098472903,64.9506558698495,51.3694871489397,118.830000143334,149.986223627694,164.360546139687,190.060416348465,207.081950630478,241.675811227873,161.410506794401,189.899698247507,165.265565992091,190.689802860854,145.533746641644,171.753961316482
"FBgn0026787",251.507722249389,49.9577452914314,54.8587031880061,82.2224031494833,95.694369430953,97.4401575263152,103.063392655703,162.403066733493,167.303196849816,188.101393090058,178.555347975286,185.404232018361,178.538249365445,217.799586766263,214.926953704257
"FBgn0005278",2165.13957059623,5010.39167117513,4980.59205957559,3610.97519465243,3819.91346673003,2751.97282707865,3074.91555914432,1931.27363840976,2118.37108220637,2317.9081525318,2224.45574980169,2737.63758558855,2559.19200901127,2612.54487655802,2623.9613390217
"FBgn0031228",185.963729216179,393.109873516956,369.329967304758,358.916716141808,378.269909971984,355.332897072762,397.552660817366,306.337113880141,347.5229625356,212.829685129664,229.896894377317,241.306019913622,220.420107559068,258.53696123352,277.366019147444
"FBgn0031219",0.322934456924994,21.7872121229822,21.7689867082243,9.16944643914104,11.7993316419197,8.43545862001437,8.79381265720733,16.6042843355427,20.7725042879597,6.04931509826626,5.6754689024453,9.6999273266515,7.58306858551545,7.35216527506101,7.06197447729942
"FBgn0031220",0.419683783006286,61.2278947722249,86.7389623636583,27.9778009044779,42.8225600133259,28.7993577817968,20.8242246986896,73.2811811144549,58.6863380390601,43.5956938529929,35.6522753382845,398.459958946309,270.063375889578,809.121098487205,945.993844300804
"FBgn0025683",183.055417840662,40.6995193865857,43.6789564757266,17.9177603020052,19.8214997362701,27.9603309577637,17.8540778268089,54.6105170617039,56.0682433543807,308.382939392128,257.060294275554,1307.40494018553,1179.0338481108,1723.25000247897,1808.77190970894
"FBgn0001142",1608.20392897687,727.960527791762,811.604146769781,308.151661049298,304.190746690462,248.387592051336,192.417213152657,235.06990907841,279.422319193163,938.737814403759,751.92777320251,1316.86397503198,1091.71342020924,1846.90840396047,1933.25689314545
